epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,344.539,0.34741,3.40734,1.02349,0.3236,0.38504,0.29743,0.29593,0.16313,2.11634,0.40929,0.00333263,0.00333263,0.00333263
2,673.903,0.29496,2.5075,0.96514,0.43313,0.49257,0.46663,0.46272,0.14934,1.60803,0.39495,0.00653398,0.00653398,0.00653398
3,996.213,0.30396,2.30673,0.96624,0.47441,0.51568,0.50685,0.50483,0.16461,1.49886,0.39387,0.00960332,0.00960332,0.00960332
4,1321.94,0.28867,2.16946,0.96171,0.55567,0.54933,0.57413,0.57279,0.13721,1.28996,0.36906,0.009406,0.009406,0.009406
5,1644.43,0.2639,2.03757,0.95193,0.59249,0.59888,0.63291,0.63167,0.12159,1.14928,0.35947,0.009208,0.009208,0.009208
6,1968.31,0.25083,1.95484,0.94724,0.63311,0.6165,0.66659,0.66498,0.12625,1.07039,0.36437,0.00901,0.00901,0.00901
7,2288.18,0.24083,1.8953,0.94396,0.64786,0.64863,0.69419,0.69323,0.11069,1.00345,0.3477,0.008812,0.008812,0.008812
8,2609.79,0.23463,1.84559,0.94133,0.65916,0.65483,0.71059,0.70974,0.09901,0.95782,0.33559,0.008614,0.008614,0.008614
9,2930.42,0.22822,1.81198,0.93925,0.67043,0.67063,0.72587,0.72502,0.09818,0.92228,0.3329,0.008416,0.008416,0.008416
10,3253.45,0.226,1.77919,0.93791,0.69153,0.6772,0.73919,0.73838,0.09413,0.89079,0.32877,0.008218,0.008218,0.008218
11,3574.74,0.22022,1.75391,0.93556,0.69089,0.68709,0.74502,0.7443,0.0921,0.87424,0.326,0.00802,0.00802,0.00802
12,3895.47,0.21787,1.72557,0.93502,0.69961,0.68886,0.75061,0.74978,0.09391,0.86208,0.32867,0.007822,0.007822,0.007822
13,4215.43,0.21581,1.70102,0.93371,0.69899,0.69643,0.75445,0.75358,0.0935,0.85221,0.32777,0.007624,0.007624,0.007624
14,4538.55,0.21363,1.68324,0.93358,0.7031,0.69769,0.75802,0.75722,0.09129,0.84327,0.32608,0.007426,0.007426,0.007426
15,5055.06,0.21032,1.67761,0.93184,0.70426,0.70012,0.76109,0.76029,0.08999,0.83572,0.32545,0.007228,0.007228,0.007228
16,5637.49,0.20831,1.65467,0.93131,0.70895,0.70252,0.76452,0.76379,0.09049,0.82808,0.32561,0.00703,0.00703,0.00703
17,6228.49,0.20711,1.63773,0.93054,0.7129,0.7034,0.7674,0.76664,0.09078,0.82195,0.32621,0.006832,0.006832,0.006832
18,6824.41,0.20514,1.61876,0.92986,0.71915,0.70421,0.7707,0.76995,0.09069,0.81412,0.32554,0.006634,0.006634,0.006634
19,7417.44,0.20254,1.59998,0.92871,0.71895,0.7094,0.77462,0.77393,0.08815,0.80458,0.32383,0.006436,0.006436,0.006436
20,8009.76,0.20062,1.58127,0.92854,0.7235,0.7119,0.77856,0.77789,0.08647,0.79436,0.32293,0.006238,0.006238,0.006238
21,8583.04,0.1989,1.57046,0.92728,0.73065,0.71469,0.78245,0.78179,0.08576,0.78427,0.32265,0.00604,0.00604,0.00604
22,9171.14,0.19709,1.56022,0.92717,0.73356,0.71867,0.78657,0.78584,0.08438,0.77359,0.32229,0.005842,0.005842,0.005842
23,9765.57,0.19547,1.54646,0.92642,0.73632,0.72214,0.78979,0.78909,0.08377,0.76534,0.32293,0.005644,0.005644,0.005644
24,10367.2,0.19293,1.52843,0.92445,0.74289,0.72379,0.79375,0.79311,0.08365,0.75532,0.32311,0.005446,0.005446,0.005446
25,10967.2,0.19275,1.51633,0.925,0.74699,0.72629,0.79743,0.79675,0.08319,0.74546,0.3235,0.005248,0.005248,0.005248
26,11566.6,0.19055,1.50525,0.92516,0.75501,0.72488,0.80116,0.80047,0.0819,0.73512,0.32308,0.00505,0.00505,0.00505
27,12165.6,0.18884,1.49229,0.92469,0.75509,0.73199,0.80485,0.80416,0.08228,0.72596,0.32359,0.004852,0.004852,0.004852
28,12766.3,0.18655,1.4839,0.92373,0.76016,0.73509,0.80865,0.80799,0.08254,0.71692,0.32321,0.004654,0.004654,0.004654
29,13367.1,0.18493,1.47092,0.92346,0.76889,0.73457,0.81215,0.81149,0.0835,0.70804,0.3238,0.004456,0.004456,0.004456
30,13965.8,0.18362,1.46088,0.92267,0.77334,0.73722,0.81538,0.81471,0.08372,0.69954,0.32435,0.004258,0.004258,0.004258
31,14563.5,0.18251,1.44903,0.92212,0.77366,0.74156,0.81848,0.81782,0.08367,0.69097,0.32488,0.00406,0.00406,0.00406
32,15163.7,0.18031,1.43161,0.92177,0.77452,0.7458,0.8215,0.82084,0.08336,0.68252,0.32446,0.003862,0.003862,0.003862
33,15764.6,0.17809,1.42151,0.92063,0.77341,0.75236,0.82453,0.82384,0.0824,0.67423,0.32411,0.003664,0.003664,0.003664
34,16362.6,0.17612,1.40666,0.9206,0.77868,0.75441,0.82773,0.82707,0.08138,0.66527,0.32332,0.003466,0.003466,0.003466
35,16960.4,0.17372,1.39296,0.91932,0.78101,0.75873,0.83118,0.83053,0.08045,0.65685,0.32262,0.003268,0.003268,0.003268
36,17556,0.17296,1.38235,0.92055,0.7871,0.76048,0.8341,0.83346,0.07921,0.64844,0.32123,0.00307,0.00307,0.00307
37,18139.9,0.16966,1.36444,0.91803,0.79174,0.76097,0.83669,0.83606,0.07816,0.64161,0.32038,0.002872,0.002872,0.002872
38,18717.5,0.16842,1.34844,0.91864,0.7946,0.76157,0.83903,0.83841,0.07731,0.63494,0.31888,0.002674,0.002674,0.002674
39,19311.9,0.16579,1.33068,0.91752,0.79645,0.76439,0.84155,0.84094,0.07609,0.62786,0.31732,0.002476,0.002476,0.002476
40,19904.8,0.16379,1.31566,0.91716,0.79879,0.76759,0.84441,0.84383,0.07436,0.62057,0.3159,0.002278,0.002278,0.002278
41,20467.2,0.12991,0.91453,0.94573,0.80375,0.76972,0.84697,0.8465,0.0714,0.61319,0.31246,0.00208,0.00208,0.00208
42,21045.9,0.11801,0.86972,0.93648,0.80301,0.77338,0.84957,0.84917,0.06864,0.60476,0.30879,0.001882,0.001882,0.001882
43,21624.5,inf,0.8441,0.93666,0.80402,0.77815,0.8518,0.85144,0.06582,0.59791,0.30458,0.001684,0.001684,0.001684
