epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,999.953,0.16574,1.23525,0.91705,0.81133,0.77185,0.85224,0.85161,0.0734,0.60882,0.29422,0.00333263,0.00333263,0.00333263
2,1845.27,0.17457,1.31123,0.91939,0.78723,0.73128,0.81912,0.81731,0.10492,0.71619,0.33066,0.006336,0.006336,0.006336
3,2777.23,0.20131,1.48916,0.92718,0.76615,0.7036,0.78858,0.78634,0.10975,0.80413,0.35616,0.00900937,0.00900937,0.00900937
4,3762.3,0.21898,1.63898,0.93399,0.74873,0.71244,0.78895,0.78634,0.0991,0.78593,0.337,0.008515,0.008515,0.008515
5,4767.07,0.21276,1.63252,0.9315,0.75949,0.72993,0.80278,0.80156,0.09876,0.75074,0.3353,0.00802,0.00802,0.00802
6,5646.61,0.20769,1.59349,0.92992,0.77029,0.73327,0.81164,0.8104,0.08795,0.7203,0.31372,0.007525,0.007525,0.007525
7,6552.37,0.20126,1.58391,0.92846,0.78163,0.73954,0.82037,0.8192,0.0933,0.69489,0.31403,0.00703,0.00703,0.00703
8,7465,0.19733,1.55841,0.92681,0.7758,0.75698,0.82832,0.82751,0.08021,0.67155,0.31132,0.006535,0.006535,0.006535
9,8955.87,0.19266,1.52348,0.9262,0.79415,0.75707,0.8367,0.83599,0.07592,0.64671,0.3051,0.00604,0.00604,0.00604
10,10159.5,0.18805,1.4936,0.92451,0.80079,0.76187,0.84135,0.84074,0.07588,0.6342,0.30362,0.005545,0.005545,0.005545
11,11290.2,0.13898,1.18476,0.95239,0.79748,0.76488,0.84207,0.84171,0.05845,0.6272,0.28736,0.00505,0.00505,0.00505
12,12389.3,0.1304,1.12761,0.9451,0.7978,0.76628,0.84298,0.84276,0.05516,0.62258,0.28485,0.004555,0.004555,0.004555
13,13546.9,0.12493,1.06406,0.94038,0.80869,0.76119,0.84477,0.84473,0.05389,0.61709,0.28382,0.00406,0.00406,0.00406
14,14330.5,0.1239,1.02662,0.93962,0.80838,0.76329,0.84651,0.84647,0.05336,0.61256,0.28434,0.003565,0.003565,0.003565
15,15105.1,0.11831,0.9749,0.93524,0.80769,0.76578,0.8482,0.84817,0.05217,0.60669,0.28271,0.00307,0.00307,0.00307
16,15875.6,0.11433,0.91899,0.93221,0.81172,0.76581,0.85015,0.85012,0.05211,0.60024,0.28063,0.002575,0.002575,0.002575
17,16651.9,0.10875,0.86908,0.92758,0.81412,0.76738,0.85224,0.85221,0.05235,0.59377,0.2787,0.00208,0.00208,0.00208
18,17511.4,0.1053,0.81238,0.92595,0.81201,0.77325,0.85422,0.85422,0.05248,0.58832,0.27633,0.001585,0.001585,0.001585
19,18411,0.10201,0.76201,0.92477,0.81188,0.77661,0.85634,0.85634,0.05293,0.58267,0.27418,0.00109,0.00109,0.00109
20,19281.5,0.0986,0.7096,0.92303,0.81636,0.77627,0.8583,0.8583,0.05321,0.57693,0.27214,0.000595,0.000595,0.000595
